key,ko,en,ja,vi
app_name,EAT-SSU,EAT-SSU,EAT-SSU,EAT-SSU
custom_weekdays,월 | 화 | 수 | 목 | 금 | 토 | 일,Mon | Tue | Wed | Thu | Fri | Sat | Sun,月 | 火 | 水 | 木 | 金 | 土 | 日,T2 | T3 | T4 | T5 | T6 | T7 | CN
title_review_write,리뷰 작성하기,Write a Review,レビューを書く,Viết đánh giá
title_review_modify,리뷰 수정하기,Edit Review,レビューを編集,Chỉnh sửa đánh giá
title_sign_out,탈퇴하기,Delete Account,アカウント削除,Xóa tài khoản
title_report,신고하기,Report,通報,Báo cáo
title_widget_setting,위젯 설정,Widget Settings,ウィジェット設定,Cài đặt widget
title_partnership_map,제휴 지도,Partner Map,提携マップ,Bản đồ đối tác
title_force_update,강제 업데이트,Force Update,強制アップデート,Bắt buộc cập nhật
nav_cafeteria_menu,학식,Cafeteria,学食,Nhà ăn
nav_map,지도,Map,マップ,Bản đồ
nav_anyone_but_me,나만아니면돼~,Lucky Game,ラッキーゲーム,Game may mắn
nav_mypage,마이,My Page,マイページ,Trang của tôi
nav_back,back,Back,戻る,Quay lại
button_complete,완료하기,Done,完了,Xong
button_modify,수정하기,Edit,編集,Chỉnh sửa
button_delete,삭제하기,Delete,削除,Xóa
button_save,저장하기,Save,保存,Lưu
button_report,신고하기,Report,通報,Báo cáo
button_cancel,취소,Cancel,キャンセル,Hủy
button_confirm,확인,Confirm,確認,Xác nhận
button_update,업데이트,Update,アップデート,Cập nhật
button_check_duplicate,중복확인,Check,確認,Kiểm tra
dialog_logout_title,로그아웃,Log Out,ログアウト,Đăng xuất
dialog_logout_message,로그아웃 하시겠습니까?,Do you want to log out?,ログアウトしますか？,Bạn có muốn đăng xuất không?
dialog_force_update_message,새 버전의 앱을 설치해야 합니다.,You need to install the latest version of the app.,最新バージョンのアプリをインストールする必要があります。,Bạn cần cài đặt phiên bản mới nhất của ứng dụng.
dialog_location_permission_description,내 위치를 바로 확인하며 제휴 식당을 찾아볼 수 있도록 위치 권한을 허용해 주세요.,Please allow location access so you can quickly check your location and find partner restaurants nearby.,現在地をすぐに確認し、近くの提携レストランを探せるように、位置情報へのアクセスを許可してください。,Vui lòng cho phép truy cập vị trí để nhanh chóng xem vị trí của bạn và tìm các nhà hàng đối tác gần đó.
dialog_notification_permission_title,알림 권한 필요,Notification Permission Required,通知権限が必要です,Cần quyền thông báo
dialog_notification_permission_description,알림을 받으려면 알림 권한을 활성화해야 합니다.\n설정에서 알림 권한을 허용해주세요.,"To receive notifications, you need to enable notification permission.\nPlease allow notification access in Settings.",通知を受け取るには、通知権限を有効にする必要があります。\n設定で通知を許可してください。,"Để nhận thông báo, bạn cần bật quyền thông báo.\nVui lòng cho phép thông báo trong Cài đặt."
dialog_settings,설정으로 이동,Go to Settings,設定へ移動,Đi tới Cài đặt
dialog_placeholder_title,제목을 입력해주세요,Please enter a title,タイトルを入力してください,Vui lòng nhập tiêu đề
dialog_placeholder_body,본문을 입력해주세요,Please enter the content,本文を入力してください,Vui lòng nhập nội dung
dialog_network_error_title,네트워크 연결 안 됨,No Network Connection,ネットワークに接続されていません,Không có kết nối mạng
dialog_network_error_message,"Wi-Fi, 모바일 데이터를 확인해주세요",Please check your Wi-Fi or mobile data connection.,Wi-Fiまたはモバイルデータ通信を確認してください。,Vui lòng kiểm tra kết nối Wi-Fi hoặc dữ liệu di động.
dialog_notice_title,공지,Notice,お知らせ,Thông báo
toast_review_write_success,리뷰가 등록되었어요.,Your review has been posted.,レビューを投稿しました。,Đánh giá của bạn đã được đăng.
toast_review_write_failed,리뷰 작성에 실패하였습니다.,Failed to post your review.,レビューの投稿に失敗しました。,Không thể đăng đánh giá.
toast_review_modify_success,리뷰를 수정했습니다.,Your review has been updated.,レビューを更新しました。,Đánh giá của bạn đã được cập nhật.
toast_review_modify_failed,리뷰 수정이 실패했습니다.,Failed to update your review.,レビューの更新に失敗しました。,Không thể cập nhật đánh giá.
toast_review_delete_success,리뷰가 삭제되었어요.,Your review has been deleted.,レビューを削除しました。,Đánh giá của bạn đã được xóa.
toast_review_delete_failed,리뷰 삭제에 실패했습니다.,Failed to delete your review.,レビューの削除に失敗しました。,Không thể xóa đánh giá.
toast_review_load_failed,리뷰를 불러오지 못했습니다.,Could not load reviews.,レビューを読み込めませんでした。,Không thể tải đánh giá.
toast_image_upload_success,이미지가 업로드되었습니다.,Image uploaded successfully.,画像をアップロードしました。,Đã tải ảnh lên thành công.
toast_image_upload_failed,이미지 업로드에 실패하였습니다.,Failed to upload image.,画像のアップロードに失敗しました。,Không thể tải ảnh lên.
toast_image_compress_failed,이미지 압축에 실패하였습니다.,Failed to compress image.,画像の圧縮に失敗しました。,Không thể nén ảnh.
toast_image_not_found,이미지 파일을 찾을 수 없습니다.,Could not find the image file.,画像ファイルが見つかりません。,Không tìm thấy tệp ảnh.
toast_report_success,신고가 성공적으로 접수되었어요!,Your report has been submitted successfully!,通報が正常に送信されました！,Báo cáo của bạn đã được gửi thành công!
